"zip","name","empflag","emp","qp1","ap","est"
"37204","Nashville, TN",,12304,73692,314954,711
"37205","Nashville, TN",,13529,89033,380293,808
"37206","Nashville, TN",,5029,24740,104962,353
"37207","Nashville, TN",,8378,41684,177173,583
"37208","Nashville, TN",,5961,35576,144024,289
"37209","Nashville, TN",,16559,116642,469782,754
"37210","Nashville, TN",,31996,221019,960459,1052
"37211","Nashville, TN",,27826,148093,641649,1599
"37212","Nashville, TN",,12299,70682,296852,888
"37213","Nashville, TN",,2403,14936,66073,88
"37214","Nashville, TN",,28514,186711,756123,960
"37215","Nashville, TN",,10276,54904,224005,971
"37216","Nashville, TN",,2415,10441,37261,247
"37217","Nashville, TN",,20584,122283,480200,849
"37218","Nashville, TN",,2267,9443,40322,160
"37219","Nashville, TN",,7884,68613,270841,468
"37220","Nashville, TN",,1319,6417,27827,173
"37221","Nashville, TN",,4982,15651,67886,576
"37222","Nashville, TN",,729,3890,16732,96
"37224","Nashville, TN",,2845,19601,87245,100
"37227","Nashville, TN",,89,410,1963,17
"37228","Nashville, TN",,9068,73392,298850,218
"37229","Nashville, TN",,598,3390,18353,52
"37230","Nashville, TN",,91,460,1832,8
"37232","Nashville, TN","C",0,0,0,3
"37234","Nashville, TN","I",0,0,0,5
"37235","Nashville, TN","A",0,0,0,3
"37236","Nashville, TN",,213,2737,15358,7
"37237","Nashville, TN","G",0,0,0,9
"37238","Nashville, TN",,1189,13967,60046,43
"37239","Nashville, TN","F",0,0,0,12
"37240","Nashville, TN","I",0,0,0,6
"37241","Nashville, TN","B",0,0,0,2
"37243","Nashville, TN","B",0,0,0,3
"37244","Nashville, TN","B",0,0,0,1
"37245","Nashville, TN","A",0,0,0,2
"37246","Nashville, TN","A",0,0,0,1
"37248","Nashville, TN","B",0,0,0,1
"37250","Nashville, TN","G",0,0,0,2
"37301","Altamont, TN",,178,449,1637,22
"37302","Apison, TN",,26,92,593,12
"37303","Athens, TN",,11231,50704,205426,535
"37304","Bakewell, TN","B",0,0,0,2
"37305","Beersheba Springs, TN",,43,75,286,7
"37306","Belvidere, TN",,72,238,1047,18
"37307","Benton, TN",,597,2078,9321,79
"37308","Birchwood, TN",,21,73,296,12
"37309","Calhoun, TN","G",0,0,0,19
"37310","Charleston, TN",,1000,8980,39066,57
"37311","Cleveland, TN",,18897,98202,410345,832
"37312","Cleveland, TN",,6420,25912,108684,442
"37313","Coalmont, TN",,159,334,1515,12
"37314","Cokercreek, TN","B",0,0,0,4
"37315","Collegedale, TN","I",0,0,0,59
"37316","Conasauga, TN","B",0,0,0,1
