"zip","name","empflag","emp","qp1","ap","est"
"00501","HOLTSVILLE, NY",,47,168,523,4
"01000","SPRINGFIELD, MA","E",0,0,0,8
"01001","AGAWAM, MA",,6900,44201,196588,457
"01002","AMHERST, MA",,6328,37558,154955,500
"01003","AMHERST, MA",,90,448,2122,15
"01004","AMHERST, MA",,230,1138,5172,41
"01005","BARRE, MA",,919,5286,22694,104
"01007","BELCHERTOWN, MA",,1105,4431,20159,183
"01008","BLANDFORD, MA",,226,787,3216,17
"01009","BONDSVILLE, MA",,202,1290,6103,18
"01010","BRIMFIELD, MA",,372,1911,8200,64
"01011","CHESTER, MA",,48,231,1009,13
"01012","CHESTERFIELD, MA",,64,330,1624,10
"01013","CHICOPEE, MA",,5568,37376,153879,370
"01014","CHICOPEE, MA",,178,733,3070,12
"01020","CHICOPEE, MA",,9099,51243,226368,548
"01021","CHICOPEE, MA",,434,2525,11480,22
"01022","CHICOPEE, MA",,1795,15069,60726,48
"01026","CUMMINGTON, MA",,63,163,1379,18
"01027","EASTHAMPTON, MA",,4272,23894,102677,325
"01028","EAST LONGMEADOW, MA",,8681,63933,254002,494
"01029","EAST OTIS, MA",,96,288,1586,13
"01030","FEEDING HILLS, MA",,1067,4851,21506,207
"01031","GILBERTVILLE, MA",,58,196,894,14
"01032","GOSHEN, MA",,73,302,1314,17
"01033","GRANBY, MA",,593,2917,12553,108
"01034","GRANVILLE, MA",,84,293,1684,28
"01035","HADLEY, MA",,3761,12421,53452,252
"01036","HAMPDEN, MA",,489,2350,12421,99
"01037","HARDWICK, MA",,182,943,3944,12
"01038","HATFIELD, MA",,736,4858,21502,59
"01039","HAYDENVILLE, MA",,172,1105,4247,34
"01040","HOLYOKE, MA",,18225,105451,451854,1022
"01041","HOLYOKE, MA",,1726,9770,42480,77
"01050","HUNTINGTON, MA",,109,347,1645,27
"01053","LEEDS, MA",,470,2118,8813,35
"01054","LEVERETT, MA",,57,224,1149,24
"01056","LUDLOW, MA",,3885,24247,118030,389
"01057","MONSON, MA",,968,5176,23395,152
"01059","NORTH AMHERST, MA",,142,735,3337,17
"01060","NORTHAMPTON, MA",,12719,72605,302425,906
"01061","NORTHAMPTON, MA",,288,1442,5779,32
"01062","FLORENCE, MA",,411,2009,9847,58
"01063","NORTHAMPTON, MA","H",0,0,0,3
"01066","NORTH HATFIELD, MA","F",0,0,0,9
"01068","OAKHAM, MA",,87,366,1871,24
"01069","PALMER, MA",,3725,24662,106333,278
"01070","PLAINFIELD, MA",,27,135,613,7
"01071","RUSSELL, MA",,159,1125,5843,17
"01072","SHUTESBURY, MA",,35,117,548,17
"01073","SOUTHAMPTON, MA",,696,3469,14109,106
"01074","SOUTH BARRE, MA",,70,286,1438,9
"01075","SOUTH HADLEY, MA",,5556,32323,125577,280
"01077","SOUTHWICK, MA",,1507,8109,36823,189
"01079","THORNDIKE, MA",,262,2157,8296,13
"01080","THREE RIVERS, MA",,307,1233,5276,41
"01081","WALES, MA",,53,185,898,15
"01082","WARE, MA",,2295,13576,58953,198
"01083","WARREN, MA",,402,2903,12126,44
"01084","WEST CHESTERFIELD, MA","A",0,0,0,2
"01085","WESTFIELD, MA",,12207,71830,307773,825
"01086","WESTFIELD, MA",,1338,7045,31170,61
"01088","WEST HATFIELD, MA",,277,1769,8434,17
"01089","WEST SPRINGFIELD, MA",,16084,92451,401481,1059
"01090","WEST SPRINGFIELD, MA",,589,3990,15778,47
"01092","WEST WARREN, MA",,786,6104,23758,18
"01093","WHATELY, MA",,1281,7834,45654,30
"01094","WHEELWRIGHT, MA","B",0,0,0,4
"01095","WILBRAHAM, MA",,3125,22603,98017,266
"01096","WILLIAMSBURG, MA",,283,1031,4399,50
"01097","WORONOCO, MA","C",0,0,0,2
"01098","WORTHINGTON, MA",,151,606,3949,30
"01100","SPRINGFIELD, MA","B",0,0,0,3
"01101","SPRINGFIELD, MA",,1220,7044,29283,81
"01102","SPRINGFIELD, MA",,3424,25188,102458,19
"01103","SPRINGFIELD, MA",,7425,49868,212163,632
"01104","SPRINGFIELD, MA",,13248,89023,371047,551
"01105","SPRINGFIELD, MA",,4984,36617,157152,343
"01106","LONGMEADOW, MA",,2383,10424,45209,226
"01107","SPRINGFIELD, MA",,7458,56949,247564,160
"01108","SPRINGFIELD, MA",,3475,13149,56173,314
"01109","SPRINGFIELD, MA",,19481,159001,634660,352
"01111","SPRINGFIELD, MA",,105,840,3247,3
"01114","SPRINGFIELD, MA","C",0,0,0,2
"01115","SPRINGFIELD, MA",,1055,10223,39774,79
"01116","LONGMEADOW, MA","A",0,0,0,3
"01118","SPRINGFIELD, MA",,1493,8429,40323,141
"01119","SPRINGFIELD, MA",,3163,14283,59828,143
"01128","SPRINGFIELD, MA",,676,2277,9673,49
"01129","SPRINGFIELD, MA",,3184,12081,48626,194
"01133","SPRINGFIELD, MA","C",0,0,0,2
"01138","SPRINGFIELD, MA",,65,313,1463,18
"01139","SPRINGFIELD, MA","F",0,0,0,12
"01144","SPRINGFIELD, MA",,1396,13103,48003,55
"01151","INDIAN ORCHARD, MA",,2044,27942,113692,144
"01199","SPRINGFIELD, MA","F",0,0,0,4
"01200","PITTSFIELD, MA","A",0,0,0,1
"01201","PITTSFIELD, MA",,23006,154160,658265,1329
"01202","PITTSFIELD, MA",,826,5136,24238,82
"01203","PITTSFIELD, MA","A",0,0,0,1
"01220","ADAMS, MA",,1887,11408,49604,174
"01222","ASHLEY FALLS, MA",,49,223,1113,12
"01223","BECKET, MA",,200,882,4032,33
"01224","BERKSHIRE, MA","B",0,0,0,3
"01225","CHESHIRE, MA",,197,890,4153,35
"01226","DALTON, MA",,2313,17628,70459,110
"01227","DALTON, MA",,73,372,1962,16
"01229","GLENDALE, MA",,6,29,147,3
"01230","GREAT BARRINGTON, MA",,4190,20206,85725,416
