"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"00501","HOLTSVILLE, NY",,40,148,660,11
"01001","AGAWAM, MA","I",0,0,0,490
"01002","AMHERST, MA",,6866,39616,170725,566
"01003","AMHERST, MA",,268,1097,3900,15
"01004","AMHERST, MA",,169,1015,4032,23
"01005","BARRE, MA",,832,5747,23301,94
"01007","BELCHERTOWN, MA",,1515,7334,33275,212
"01008","BLANDFORD, MA",,369,1793,7840,28
"01009","BONDSVILLE, MA",,195,1475,6661,19
"01010","BRIMFIELD, MA",,395,2464,10502,70
"01011","CHESTER, MA",,59,270,1284,22
"01012","CHESTERFIELD, MA",,77,421,1851,14
"01013","CHICOPEE, MA",,5985,42392,179621,354
"01014","CHICOPEE, MA",,68,341,1409,6
"01020","CHICOPEE, MA",,8161,59226,251613,547
"01021","CHICOPEE, MA",,330,1625,6759,17
"01022","CHICOPEE, MA",,2942,26036,106144,58
"01026","CUMMINGTON, MA",,256,1214,5389,22
"01027","EASTHAMPTON, MA",,4516,28498,116566,349
"01028","EAST LONGMEADOW, MA",,8341,68662,277031,481
"01029","EAST OTIS, MA",,86,598,3181,18
"01030","FEEDING HILLS, MA",,1143,5141,22599,194
"01031","GILBERTVILLE, MA",,129,400,2159,18
"01032","GOSHEN, MA",,87,495,2648,16
"01033","GRANBY, MA",,611,3839,16934,114
"01034","GRANVILLE, MA",,93,467,2216,26
"01035","HADLEY, MA",,3573,18797,87349,272
"01036","HAMPDEN, MA",,502,3150,18352,94
"01037","HARDWICK, MA",,171,1104,5058,16
"01038","HATFIELD, MA",,714,6253,25688,60
"01039","HAYDENVILLE, MA",,272,1744,7365,39
"01040","HOLYOKE, MA",,19629,133117,536442,1020
"01041","HOLYOKE, MA",,1013,7906,32761,62
"01050","HUNTINGTON, MA",,189,838,3625,37
"01053","LEEDS, MA",,418,2996,12440,33
"01054","LEVERETT, MA","E",0,0,0,27
"01056","LUDLOW, MA","H",0,0,0,425
"01057","MONSON, MA",,877,5572,23966,147
"01059","NORTH AMHERST, MA","E",0,0,0,19
"01060","NORTHAMPTON, MA","J",0,0,0,809
"01061","NORTHAMPTON, MA",,341,3233,13525,27
"01062","FLORENCE, MA",,1281,7927,35435,166
"01063","NORTHAMPTON, MA","H",0,0,0,3
"01066","NORTH HATFIELD, MA","F",0,0,0,10
"01068","OAKHAM, MA",,95,409,2229,26
"01069","PALMER, MA","H",0,0,0,294
"01070","PLAINFIELD, MA","E",0,0,0,13
"01071","RUSSELL, MA",,136,1538,6576,21
"01072","SHUTESBURY, MA",,33,102,643,18
"01073","SOUTHAMPTON, MA",,926,4429,19830,117
"01074","SOUTH BARRE, MA",,121,476,2643,14
"01075","SOUTH HADLEY, MA",,5205,34034,139002,304
"01077","SOUTHWICK, MA",,2137,14538,63595,230
"01079","THORNDIKE, MA",,265,1717,6530,13
"01080","THREE RIVERS, MA","F",0,0,0,53
"01081","WALES, MA",,62,324,1631,21
"01082","WARE, MA",,2211,13807,59441,195
"01083","WARREN, MA",,378,2939,13609,52
"01084","WEST CHESTERFIELD, MA","A",0,0,0,1
"01085","WESTFIELD, MA",,12023,87419,373455,837
"01086","WESTFIELD, MA",,1288,7932,33912,42
"01088","WEST HATFIELD, MA",,327,2852,12494,19
"01089","WEST SPRINGFIELD, MA",,16040,115450,484031,1034
"01090","WEST SPRINGFIELD, MA",,323,3762,14232,22
"01092","WEST WARREN, MA",,610,5137,20483,15
"01093","WHATELY, MA",,4968,23294,92616,36
"01094","WHEELWRIGHT, MA","C",0,0,0,6
"01095","WILBRAHAM, MA","H",0,0,0,293
"01096","WILLIAMSBURG, MA","E",0,0,0,50
"01097","WORONOCO, MA","B",0,0,0,1
"01098","WORTHINGTON, MA","E",0,0,0,32
"01101","SPRINGFIELD, MA",,1731,11387,47377,58
"01102","SPRINGFIELD, MA",,2515,22832,95463,23
"01103","SPRINGFIELD, MA",,7961,66295,273786,651
"01104","SPRINGFIELD, MA","J",0,0,0,598
"01105","SPRINGFIELD, MA",,5679,44478,181825,349
"01106","LONGMEADOW, MA",,2537,14046,59751,234
"01107","SPRINGFIELD, MA",,7799,71660,324058,205
"01108","SPRINGFIELD, MA",,2890,15430,65726,333
"01109","SPRINGFIELD, MA",,13315,150918,517650,426
"01111","SPRINGFIELD, MA",,220,15748,24361,9
"01114","SPRINGFIELD, MA","C",0,0,0,1
"01115","SPRINGFIELD, MA",,1160,37497,100340,76
"01116","LONGMEADOW, MA",,15,56,210,6
"01118","SPRINGFIELD, MA",,1491,11201,51551,146
"01119","SPRINGFIELD, MA",,3089,16882,71009,140
"01128","SPRINGFIELD, MA",,633,2975,11671,46
"01129","SPRINGFIELD, MA",,3298,12975,53920,197
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA","C",0,0,0,8
"01139","SPRINGFIELD, MA","F",0,0,0,10
"01144","SPRINGFIELD, MA",,1186,13608,56686,47
"01151","INDIAN ORCHARD, MA","G",0,0,0,157
