"zip","name","empflag","emp","qp1","ap","est"
"00501","HOLTSVILLE, NY","B",0,0,0,7
"01001","AGAWAM, MA",,8448,61611,271048,505
"01002","AMHERST, MA",,6771,40259,171869,586
"01003","AMHERST, MA",,258,1142,4745,16
"01004","AMHERST, MA",,146,972,4003,21
"01005","BARRE, MA",,878,5961,24994,93
"01007","BELCHERTOWN, MA",,1542,8196,36232,230
"01008","BLANDFORD, MA",,273,851,3426,25
"01009","BONDSVILLE, MA",,191,1322,7107,22
"01010","BRIMFIELD, MA",,405,2826,12038,68
"01011","CHESTER, MA",,44,297,1257,18
"01012","CHESTERFIELD, MA",,70,411,1819,15
"01013","CHICOPEE, MA",,6024,48383,188473,397
"01014","CHICOPEE, MA",,110,393,1619,10
"01020","CHICOPEE, MA",,8204,59508,257431,555
"01021","CHICOPEE, MA",,317,1818,6703,15
"01022","CHICOPEE, MA",,2340,21466,85984,51
"01026","CUMMINGTON, MA",,86,304,1685,21
"01027","EASTHAMPTON, MA",,4402,31335,129638,375
"01028","EAST LONGMEADOW, MA",,8475,69895,252188,471
"01029","EAST OTIS, MA",,94,596,3091,20
"01030","FEEDING HILLS, MA",,1107,5086,23012,200
"01031","GILBERTVILLE, MA",,137,431,2149,24
"01032","GOSHEN, MA",,65,470,2207,16
"01033","GRANBY, MA",,652,4172,19217,107
"01034","GRANVILLE, MA",,79,398,2193,28
"01035","HADLEY, MA",,5442,22579,109875,281
"01036","HAMPDEN, MA",,1079,5901,29544,105
"01037","HARDWICK, MA",,186,1205,5912,18
"01038","HATFIELD, MA",,750,6282,26396,57
"01039","HAYDENVILLE, MA",,274,1774,7147,38
"01040","HOLYOKE, MA",,19245,134066,554668,1136
"01041","HOLYOKE, MA",,1394,9472,39221,67
"01050","HUNTINGTON, MA",,223,989,3511,37
"01053","LEEDS, MA",,404,2785,11598,32
"01054","LEVERETT, MA",,87,345,1938,29
"01056","LUDLOW, MA",,4298,29958,143695,458
"01057","MONSON, MA",,901,6017,26245,169
"01059","NORTH AMHERST, MA",,209,1211,5105,18
"01060","NORTHAMPTON, MA","J",0,0,0,813
"01061","NORTHAMPTON, MA",,310,2747,13040,29
"01062","FLORENCE, MA",,1386,8454,35298,172
"01063","NORTHAMPTON, MA","H",0,0,0,3
"01066","NORTH HATFIELD, MA","G",0,0,0,11
"01068","OAKHAM, MA",,98,446,2228,28
"01069","PALMER, MA",,3694,26098,115649,295
"01070","PLAINFIELD, MA","E",0,0,0,10
"01071","RUSSELL, MA",,137,1361,6001,21
"01072","SHUTESBURY, MA",,38,150,819,19
"01073","SOUTHAMPTON, MA",,877,4936,20036,118
"01074","SOUTH BARRE, MA",,102,527,2875,15
"01075","SOUTH HADLEY, MA",,5317,35669,143634,303
"01077","SOUTHWICK, MA",,2146,14379,65542,225
"01079","THORNDIKE, MA",,106,1565,5984,15
"01080","THREE RIVERS, MA","F",0,0,0,55
"01081","WALES, MA",,61,435,2078,20
"01082","WARE, MA",,2286,14328,61245,208
"01083","WARREN, MA",,332,3022,13205,48
"01084","WEST CHESTERFIELD, MA","A",0,0,0,1
"01085","WESTFIELD, MA",,12378,90117,385563,878
"01086","WESTFIELD, MA",,824,4243,18208,41
"01088","WEST HATFIELD, MA",,320,2991,14605,21
"01089","WEST SPRINGFIELD, MA",,16841,118218,507397,1058
"01090","WEST SPRINGFIELD, MA",,333,3699,14676,24
"01092","WEST WARREN, MA",,710,4825,20707,19
"01093","WHATELY, MA",,1306,10059,42828,37
"01094","WHEELWRIGHT, MA",,39,218,871,6
"01095","WILBRAHAM, MA",,2984,24396,96681,291
"01096","WILLIAMSBURG, MA",,287,1160,5667,52
"01098","WORTHINGTON, MA",,190,1155,5946,34
"01101","SPRINGFIELD, MA",,1842,12428,51973,69
"01102","SPRINGFIELD, MA",,2282,23462,96949,21
"01103","SPRINGFIELD, MA",,7610,66672,267127,682
"01104","SPRINGFIELD, MA",,13886,106487,453345,706
"01105","SPRINGFIELD, MA",,6016,45972,190250,418
"01106","LONGMEADOW, MA",,2741,14844,64996,248
"01107","SPRINGFIELD, MA",,8093,76099,318142,289
"01108","SPRINGFIELD, MA",,3098,15410,65486,398
"01109","SPRINGFIELD, MA",,6341,39397,166901,527
"01111","SPRINGFIELD, MA","H",0,0,0,8
"01114","SPRINGFIELD, MA","C",0,0,0,1
"01115","SPRINGFIELD, MA",,1109,41326,102007,72
"01116","LONGMEADOW, MA",,8,32,201,4
"01118","SPRINGFIELD, MA",,1627,12038,56068,157
"01119","SPRINGFIELD, MA",,3686,17752,72830,161
"01128","SPRINGFIELD, MA",,679,3765,13527,48
"01129","SPRINGFIELD, MA",,3227,13949,54780,201
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA",,20,101,488,8
"01139","SPRINGFIELD, MA","F",0,0,0,14
"01144","SPRINGFIELD, MA",,1179,12740,53684,46
"01151","INDIAN ORCHARD, MA",,1807,21050,80616,171
"01199","SPRINGFIELD, MA","G",0,0,0,6
