"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"00501","HOLTSVILLE, NY",,2,11,57,3
"01001","AGAWAM, MA",,7121,47926,215641,444
"01002","AMHERST, MA",,6278,34435,154135,490
"01003","AMHERST, MA",,86,535,2301,14
"01004","AMHERST, MA",,172,811,4043,31
"01005","BARRE, MA",,850,5165,22548,95
"01007","BELCHERTOWN, MA",,1170,4889,21290,183
"01008","BLANDFORD, MA",,190,715,2965,18
"01009","BONDSVILLE, MA",,198,1225,5779,17
"01010","BRIMFIELD, MA",,326,1633,7413,63
"01011","CHESTER, MA",,50,232,1039,15
"01012","CHESTERFIELD, MA",,66,336,1552,10
"01013","CHICOPEE, MA",,5994,36176,158035,375
"01014","CHICOPEE, MA",,153,702,3049,12
"01020","CHICOPEE, MA",,8705,54778,229247,539
"01021","CHICOPEE, MA",,326,1522,5807,19
"01022","CHICOPEE, MA",,2265,18344,80391,50
"01026","CUMMINGTON, MA",,124,461,1593,15
"01027","EASTHAMPTON, MA",,4328,25917,112979,336
"01028","EAST LONGMEADOW, MA",,7975,63696,256015,481
"01029","EAST OTIS, MA",,80,301,1604,14
"01030","FEEDING HILLS, MA",,1102,4843,22100,200
"01031","GILBERTVILLE, MA",,45,153,872,16
"01032","GOSHEN, MA",,46,240,1140,13
"01033","GRANBY, MA",,644,3242,14063,104
"01034","GRANVILLE, MA",,96,340,1942,26
"01035","HADLEY, MA",,3439,13775,59065,254
"01036","HAMPDEN, MA",,569,2812,13117,101
"01037","HARDWICK, MA",,179,859,3997,12
"01038","HATFIELD, MA",,692,4229,23062,62
"01039","HAYDENVILLE, MA",,169,887,4496,33
"01040","HOLYOKE, MA",,19522,112066,477612,1028
"01041","HOLYOKE, MA",,1400,6472,25626,70
"01050","HUNTINGTON, MA",,137,511,2401,27
"01053","LEEDS, MA",,472,2250,9400,35
"01054","LEVERETT, MA",,59,190,1067,24
"01056","LUDLOW, MA",,3896,24851,121358,393
"01057","MONSON, MA",,985,5735,26592,147
"01059","NORTH AMHERST, MA",,142,691,3714,16
"01060","NORTHAMPTON, MA",,15151,87494,363333,861
"01061","NORTHAMPTON, MA",,388,1794,9812,31
"01062","FLORENCE, MA",,917,4254,20344,113
"01063","NORTHAMPTON, MA","A",0,0,0,2
"01066","NORTH HATFIELD, MA","F",0,0,0,9
"01068","OAKHAM, MA",,73,407,2053,23
