"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","A","D",0,"D",0,"D",0,2,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",9185,"G",70693,"G",314508,448,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"G",15633,"G",82069,"G",351589,570,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",168,"H",1297,"H",5761,16,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA",,"H",189,"H",1710,"H",7241,21,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",926,"G",5698,"G",24382,96,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1740,"G",10479,"G",47376,238,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"H",370,"H",751,"G",2899,21,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"H",130,"G",1149,"G",4965,15,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"G",335,"G",2540,"G",12366,75,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"G",47,"G",251,"G",1432,17,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA",,"G",84,"G",436,"G",2189,13,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4713,"G",40135,"G",176546,324,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA",,"G",10,"G",95,"G",381,3,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",7648,"G",57084,"G",252596,532,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"H",226,"G",1221,"G",5803,8,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2609,"G",27298,"G",113794,63,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"H",122,"H",842,"H",4005,16,"CUMMINGTON","MA","HAMPSHIRE"
