"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"00501","HOLTSVILLE, NY","B",0,0,0,6
"01001","AGAWAM, MA",,8522,64404,270625,490
"01002","AMHERST, MA",,6955,42682,182632,587
"01003","AMHERST, MA",,175,629,2811,13
"01004","AMHERST, MA",,224,1104,4723,37
"01005","BARRE, MA",,829,5517,22331,90
"01007","BELCHERTOWN, MA",,1428,6858,30012,228
"01008","BLANDFORD, MA",,273,1067,4370,27
"01009","BONDSVILLE, MA",,196,1700,7146,20
"01010","BRIMFIELD, MA",,379,2140,9586,72
"01011","CHESTER, MA",,50,242,1383,26
"01012","CHESTERFIELD, MA",,84,463,1939,18
"01013","CHICOPEE, MA",,6288,44765,189763,410
"01014","CHICOPEE, MA",,171,832,3356,13
"01020","CHICOPEE, MA",,8494,59860,251445,556
"01021","CHICOPEE, MA",,308,1864,7714,19
"01022","CHICOPEE, MA",,2993,24847,100776,54
"01026","CUMMINGTON, MA",,214,1183,5821,20
"01027","EASTHAMPTON, MA",,4491,28923,118655,361
"01028","EAST LONGMEADOW, MA",,8482,70552,275768,474
"01029","EAST OTIS, MA",,87,532,2837,17
"01030","FEEDING HILLS, MA",,1106,5026,22972,204
"01031","GILBERTVILLE, MA",,29,96,684,16
"01032","GOSHEN, MA",,59,382,1783,15
"01033","GRANBY, MA",,610,3783,16047,118
"01034","GRANVILLE, MA",,80,396,1941,27
"01035","HADLEY, MA",,3537,18784,79076,269
"01036","HAMPDEN, MA",,548,3059,13080,93
"01037","HARDWICK, MA",,180,1267,5256,19
"01038","HATFIELD, MA",,794,6293,26659,62
"01039","HAYDENVILLE, MA",,253,1559,7077,41
"01040","HOLYOKE, MA",,20559,136411,547981,1164
"01041","HOLYOKE, MA",,1246,6431,25785,84
"01050","HUNTINGTON, MA",,144,772,3335,34
"01053","LEEDS, MA",,412,2870,11824,35
"01054","LEVERETT, MA",,80,305,1705,27
"01056","LUDLOW, MA",,4393,30589,142623,448
"01057","MONSON, MA",,1102,7083,28271,160
"01059","NORTH AMHERST, MA",,176,1029,4743,16
"01060","NORTHAMPTON, MA",,12336,86828,353397,854
"01061","NORTHAMPTON, MA",,256,1435,6399,32
"01062","FLORENCE, MA",,1209,6674,29415,173
"01063","NORTHAMPTON, MA","H",0,0,0,3
"01066","NORTH HATFIELD, MA","G",0,0,0,11
"01068","OAKHAM, MA",,92,461,2074,26
"01069","PALMER, MA",,3698,25005,109717,293
"01070","PLAINFIELD, MA",,26,198,983,10
"01071","RUSSELL, MA",,137,1211,5157,23
"01072","SHUTESBURY, MA",,47,219,974,20
"01073","SOUTHAMPTON, MA",,799,4589,19219,113
"01074","SOUTH BARRE, MA",,63,349,1956,10
"01075","SOUTH HADLEY, MA",,5238,38168,153596,302
"01077","SOUTHWICK, MA",,2035,13065,60836,217
"01079","THORNDIKE, MA",,233,1857,7479,15
"01080","THREE RIVERS, MA",,285,1772,6604,51
"01081","WALES, MA",,51,216,1364,24
"01082","WARE, MA",,2339,15280,63386,204
"01083","WARREN, MA",,348,2902,11668,41
"01084","WEST CHESTERFIELD, MA","A",0,0,0,1
"01085","WESTFIELD, MA",,12584,90934,390311,873
"01086","WESTFIELD, MA",,1422,8373,33536,65
"01088","WEST HATFIELD, MA",,291,2348,10885,18
"01089","WEST SPRINGFIELD, MA",,17955,118445,502324,1078
"01090","WEST SPRINGFIELD, MA",,407,3804,16464,30
"01092","WEST WARREN, MA",,636,5483,21301,21
"01093","WHATELY, MA",,3338,21588,81814,29
"01094","WHEELWRIGHT, MA",,37,207,958,7
"01095","WILBRAHAM, MA",,3073,22986,96299,318
"01096","WILLIAMSBURG, MA",,305,1114,5170,54
"01097","WORONOCO, MA","A",0,0,0,2
"01098","WORTHINGTON, MA",,148,815,4747,31
"01101","SPRINGFIELD, MA",,1453,9834,45263,84
"01102","SPRINGFIELD, MA",,2803,25173,102638,20
"01103","SPRINGFIELD, MA",,8802,75647,303120,701
"01104","SPRINGFIELD, MA",,13266,108181,459487,728
"01105","SPRINGFIELD, MA",,5936,41924,172603,457
"01106","LONGMEADOW, MA",,2449,13099,59931,232
"01107","SPRINGFIELD, MA",,7565,64309,289719,364
"01108","SPRINGFIELD, MA",,3250,15118,71113,402
"01109","SPRINGFIELD, MA",,12563,124910,431926,639
"01111","SPRINGFIELD, MA","C",0,0,0,8
"01114","SPRINGFIELD, MA","C",0,0,0,2
"01115","SPRINGFIELD, MA",,1022,34027,85871,81
"01116","LONGMEADOW, MA",,17,117,483,9
"01118","SPRINGFIELD, MA",,1677,10839,51862,176
"01119","SPRINGFIELD, MA",,3169,16826,71667,186
"01128","SPRINGFIELD, MA",,557,2328,10212,44
"01129","SPRINGFIELD, MA",,3071,13128,51072,204
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA",,34,191,738,12
"01139","SPRINGFIELD, MA","F",0,0,0,12
"01144","SPRINGFIELD, MA",,1252,13296,51356,50
"01151","INDIAN ORCHARD, MA",,2084,22785,85508,192
"01199","SPRINGFIELD, MA","G",0,0,0,4
"01201","PITTSFIELD, MA",,23739,192315,792214,1459
"01202","PITTSFIELD, MA",,813,4787,22307,79
"01203","PITTSFIELD, MA","A",0,0,0,1
"01220","ADAMS, MA",,1909,13414,56911,196
"01222","ASHLEY FALLS, MA",,63,429,2031,12
"01223","BECKET, MA",,270,1623,8556,44
"01224","BERKSHIRE, MA",,33,214,896,5
"01225","CHESHIRE, MA",,316,1604,7755,47
"01226","DALTON, MA",,1872,15263,64582,120
"01227","DALTON, MA",,94,500,2774,23
"01229","GLENDALE, MA",,24,63,279,5
"01230","GREAT BARRINGTON, MA",,4272,25570,105475,417
"01235","HINSDALE, MA",,277,1248,6483,47
"01236","HOUSATONIC, MA",,1020,8285,30170,60
"01237","LANESBORO, MA",,2196,7588,29771,169
"01238","LEE, MA",,3182,24800,97338,313
"01240","LENOX, MA",,3196,19669,85401,236
"01242","LENOX DALE, MA",,86,557,2447,17
"01243","MIDDLEFIELD, MA",,85,354,1449,9
"01244","MILL RIVER, MA",,26,115,436,6
"01245","MONTEREY, MA",,163,832,3752,32
"01247","NORTH ADAMS, MA",,5611,36002,145619,441
"01252","NORTH EGREMONT, MA",,68,141,862,12
"01253","OTIS, MA",,143,380,1808,21
"01254","RICHMOND, MA",,100,705,2863,30
"01255","SANDISFIELD, MA",,89,644,2675,16
"01256","SAVOY, MA",,20,154,669,9
"01257","SHEFFIELD, MA",,1203,10513,42245,106
"01258","SOUTH EGREMONT, MA",,156,723,3208,35
"01259","SOUTHFIELD, MA",,79,1004,3423,22
"01260","SOUTH LEE, MA",,670,6848,24538,15
"01262","STOCKBRIDGE, MA",,1042,6835,29262,84
"01264","TYRINGHAM, MA",,6,62,261,4
"01266","WEST STOCKBRIDGE, MA",,186,1016,5606,55
"01267","WILLIAMSTOWN, MA",,4810,37685,137667,241
"01270","WINDSOR, MA",,107,295,1248,10
"01301","GREENFIELD, MA",,8755,50836,207809,623
"01302","GREENFIELD, MA",,655,6108,25408,40
"01330","ASHFIELD, MA",,163,682,3179,44
"01331","ATHOL, MA",,3466,21810,88854,263
"01337","BERNARDSTON, MA",,416,2229,10315,54
"01338","BUCKLAND, MA",,113,934,4175,10
"01339","CHARLEMONT, MA",,253,860,3564,41
"01340","COLRAIN, MA",,129,1097,4329,26
"01341","CONWAY, MA",,104,513,2473,32
"01342","DEERFIELD, MA",,846,5827,24706,35
"01343","DRURY, MA","A",0,0,0,1
"01344","ERVING, MA",,254,1873,7693,17
"01346","HEATH, MA",,7,34,172,5
"01349","TURNERS FALLS, MA",,480,947,3841,17
"01350","MONROE BRIDGE, MA","B",0,0,0,3
"01351","MONTAGUE, MA",,127,637,3250,33
"01355","NEW SALEM, MA",,73,338,1546,17
"01360","NORTHFIELD, MA",,959,7373,30402,48
"01364","ORANGE, MA",,1527,9068,38799,174
"01366","PETERSHAM, MA",,111,400,1878,27
"01367","ROWE, MA",,51,159,716,8
"01368","ROYALSTON, MA",,68,245,1068,11
"01370","SHELBURNE FALLS, MA",,849,4158,17672,134
"01373","SOUTH DEERFIELD, MA",,2318,21746,84595,125
"01375","SUNDERLAND, MA",,367,2547,15404,48
"01376","TURNERS FALLS, MA",,2043,13845,58483,152
"01378","WARWICK, MA",,22,148,768,6
"01379","WENDELL, MA",,180,1108,4620,13
"01420","FITCHBURG, MA",,14017,100171,419996,893
"01430","ASHBURNHAM, MA",,686,4986,23240,95
"01431","ASHBY, MA",,193,959,4497,46
"01432","AYER, MA",,5594,47719,203657,268
"01433","FT DEVENS, MA","B",0,0,0,2
"01436","BALDWINVILLE, MA",,492,3395,14064,34
"01438","EAST TEMPLETON, MA",,227,1203,9035,25
"01440","GARDNER, MA",,7294,42537,188837,461
"01441","WESTMINSTER, MA","G",0,0,0,2
"01450","GROTON, MA",,1531,11366,47840,197
"01451","HARVARD, MA",,858,10251,46934,162
"01452","HUBBARDSTON, MA",,411,2169,9430,64
"01453","LEOMINSTER, MA",,18607,125759,515281,1131
"01460","LITTLETON, MA",,6116,94059,446165,336
"01462","LUNENBURG, MA",,2168,16368,76434,198
"01463","PEPPERELL, MA",,1425,10225,42033,203
"01464","SHIRLEY, MA",,965,8478,33998,93
"01467","STILL RIVER, MA",,19,133,652,6
"01468","TEMPLETON, MA",,243,1544,7305,41
"01469","TOWNSEND, MA",,1482,9391,40247,134
"01471","GROTON, MA","F",0,0,0,2
"01472","WEST GROTON, MA",,260,2280,9326,12
"01473","WESTMINSTER, MA",,1592,13532,61406,150
"01474","WEST TOWNSEND, MA",,246,1042,4188,30
"01475","WINCHENDON, MA",,1334,7070,29454,147
"01477","WINCHENDON SPRINGS, MA",,99,318,1551,5
"01501","AUBURN, MA",,11262,78989,329136,562
"01503","BERLIN, MA",,414,2390,10664,83
"01504","BLACKSTONE, MA",,713,3715,16295,140
"01505","BOYLSTON, MA",,853,7579,34754,103
"01506","BROOKFIELD, MA",,301,1589,6975,44
"01507","CHARLTON, MA",,1858,13808,60018,196
"01508","CHARLTON CITY, MA",,351,1555,7427,39
"01509","CHARLTON DEPOT, MA",,17,74,509,5
"01510","CLINTON, MA",,4715,38317,170396,288
"01515","EAST BROOKFIELD, MA",,282,1939,9580,45
"01516","DOUGLAS, MA",,624,4016,16872,120
"01518","FISKDALE, MA",,297,1531,5834,52
"01519","GRAFTON, MA",,1532,14878,49016,100
"01520","HOLDEN, MA",,3641,25390,108020,266
"01521","HOLLAND, MA",,73,315,1579,25
"01522","JEFFERSON, MA",,95,624,2790,29
"01523","LANCASTER, MA",,1164,10489,39936,92
"01524","LEICESTER, MA",,1201,8456,36112,99
"01525","LINWOOD, MA",,246,1063,4414,23
"01526","MANCHAUG, MA",,41,227,900,12
"01527","MILLBURY, MA",,3459,27960,107585,229
"01529","MILLVILLE, MA",,72,376,1762,33
"01531","NEW BRAINTREE, MA",,39,190,1100,19
"01532","NORTHBOROUGH, MA",,5688,60274,234642,463
"01534","NORTHBRIDGE, MA",,949,5926,23036,53
"01535","NORTH BROOKFIELD, MA",,883,6504,26586,78
"01536","NORTH GRAFTON, MA",,1927,15276,89730,138
"01537","NORTH OXFORD, MA",,872,5641,25976,56
"01538","NORTH UXBRIDGE, MA",,382,3457,13368,25
"01540","OXFORD, MA",,1955,15183,65802,225
"01541","PRINCETON, MA",,1013,4031,14426,62
"01542","ROCHDALE, MA",,418,2992,12016,37
"01543","RUTLAND, MA",,734,4712,21939,99
"01545","SHREWSBURY, MA",,10959,103141,428907,746
"01550","SOUTHBRIDGE, MA",,6294,45952,184962,395
"01560","SOUTH GRAFTON, MA",,367,2448,10652,50
"01561","SOUTH LANCASTER, MA",,1035,5363,21091,41
"01562","SPENCER, MA",,3203,24831,103559,242
"01564","STERLING, MA",,1757,14473,62100,180
"01566","STURBRIDGE, MA",,4506,28149,124453,232
"01568","UPTON, MA",,661,4236,19353,159
"01569","UXBRIDGE, MA",,1946,12799,58276,254
"01570","WEBSTER, MA",,6348,49085,199387,386
"01571","DUDLEY, MA",,2195,15450,62506,147
"01580","WESTBOROUGH, MA","G",0,0,0,6
"01581","WESTBOROUGH, MA",,24058,272028,1031107,860
"01582","WESTBOROUGH, MA","F",0,0,0,5
"01583","WEST BOYLSTON, MA",,2914,19948,89857,210
"01585","WEST BROOKFIELD, MA",,934,6729,26485,82
"01586","WEST MILLBURY, MA","A",0,0,0,2
"01588","WHITINSVILLE, MA",,2834,22216,82851,205
"01590","SUTTON, MA",,1210,8036,40352,148
"01601","WORCESTER, MA",,191,1113,3637,20
"01602","WORCESTER, MA",,2399,15781,65798,312
"01603","WORCESTER, MA",,8834,60583,236935,450
"01604","WORCESTER, MA",,13560,95517,392104,722
"01605","WORCESTER, MA",,21542,234158,878854,587
"01606","WORCESTER, MA",,9839,91526,366784,431
"01607","WORCESTER, MA",,2357,20357,92685,169
"01608","WORCESTER, MA",,14945,126127,493949,755
"01609","WORCESTER, MA",,9618,60988,253073,541
"01610","WORCESTER, MA",,8468,57580,230803,384
"01611","CHERRY VALLEY, MA",,163,1177,4656,36
"01612","PAXTON, MA",,632,3482,15933,73
"01613","WORCESTER, MA",,790,9055,41218,61
"01614","WORCESTER, MA",,25,157,672,8
"01615","WORCESTER, MA",,1833,20665,81115,15
"01653","WORCESTER, MA","E",0,0,0,2
"01655","WORCESTER, MA","H",0,0,0,2
"01701","FRAMINGHAM, MA",,36095,423638,1758952,1318
"01702","FRAMINGHAM, MA",,11968,157269,636034,795
"01703","FRAMINGHAM, MA",,489,3655,15859,23
"01704","FRAMINGHAM, MA",,71,630,4206,15
"01705","FRAMINGHAM, MA",,49,274,1283,18
"01718","VILLAGE OF NAGOG WOODS, MA",,23,206,859,7
"01719","BOXBOROUGH, MA",,2906,72398,231337,129
"01720","ACTON, MA",,10150,139048,545246,741
"01721","ASHLAND, MA",,4431,33752,139089,394
"01730","BEDFORD, MA",,22560,481101,1887272,549
"01731","HANSCOM AFB, MA",,477,5529,24701,24
"01740","BOLTON, MA",,1962,36843,103704,109
"01741","CARLISLE, MA",,613,7062,28676,110
"01742","CONCORD, MA",,11891,148362,583259,811
"01745","FAYVILLE, MA",,188,2231,8821,26
"01746","HOLLISTON, MA",,5155,55185,227918,407
"01747","HOPEDALE, MA",,1598,13861,62087,139
"01748","HOPKINTON, MA",,10532,194375,780960,360
"01749","HUDSON, MA",,7426,83230,314117,510
"01752","MARLBOROUGH, MA",,33734,464919,1791377,1270
"01754","MAYNARD, MA",,5260,111133,471642,287
"01756","MENDON, MA",,1138,6724,31176,162
"01757","MILFORD, MA",,13229,183573,632665,704
"01760","NATICK, MA",,21673,245533,1011299,1338
"01770","SHERBORN, MA",,415,4203,16954,116
"01772","SOUTHBOROUGH, MA",,5990,79058,309662,284
"01773","LINCOLN, MA",,1372,17104,80170,149
"01775","STOW, MA",,1820,31927,68969,182
"01776","SUDBURY, MA",,6573,66310,286814,515
"01778","WAYLAND, MA",,4015,43112,186453,336
"01784","WOODVILLE, MA",,38,236,1038,7
"01801","WOBURN, MA",,43081,454299,1835387,1934
"01803","BURLINGTON, MA",,36005,613349,2374932,1351
"01805","BURLINGTON, MA","H",0,0,0,8
"01806","WOBURN, MA","A",0,0,0,1
"01807","WOBURN, MA","A",0,0,0,1
"01810","ANDOVER, MA",,31829,442719,1706663,1020
"01813","WOBURN, MA","A",0,0,0,1
"01821","BILLERICA, MA",,18071,268034,1008104,735
"01822","BILLERICA, MA","E",0,0,0,4
"01824","CHELMSFORD, MA",,16997,286095,1098380,832
"01826","DRACUT, MA",,4026,26533,118492,523
"01827","DUNSTABLE, MA",,168,1256,5765,41
"01830","HAVERHILL, MA",,9002,57802,243151,592
"01831","HAVERHILL, MA",,556,2924,12951,41
"01832","HAVERHILL, MA",,2798,20680,83141,273
"01833","GEORGETOWN, MA",,2076,17334,76972,199
"01834","GROVELAND, MA",,768,6698,29220,111
"01835","HAVERHILL, MA",,5202,46470,175970,288
"01840","LAWRENCE, MA",,4458,29970,121622,345
"01841","LAWRENCE, MA",,6191,52679,215756,334
"01842","LAWRENCE, MA",,661,3804,16639,33
"01843","LAWRENCE, MA",,9358,68253,276984,420
"01844","METHUEN, MA",,13008,91531,395815,857
"01845","NORTH ANDOVER, MA",,21267,200380,838655,838
"01850","LOWELL, MA",,1425,6962,29040,134
"01851","LOWELL, MA",,11085,144459,543803,458
"01852","LOWELL, MA",,12692,89293,372860,788
"01853","LOWELL, MA",,1237,10566,43555,44
"01854","LOWELL, MA",,6424,51054,208585,330
"01860","MERRIMAC, MA",,748,5061,19594,114
"01862","NORTH BILLERICA, MA",,8932,107870,428582,355
"01863","NORTH CHELMSFORD, MA",,2181,24225,94749,221
"01864","NORTH READING, MA",,5326,45702,182696,441
"01865","NUTTING LAKE, MA",,131,2161,7016,8
"01866","PINEHURST, MA",,117,712,2833,10
"01867","READING, MA",,6089,49251,212567,566
"01876","TEWKSBURY, MA",,25743,349732,1393898,726
"01879","TYNGSBORO, MA",,4086,26267,111202,295
"01880","WAKEFIELD, MA",,13992,211523,843517,979
"01885","WEST BOXFORD, MA",,118,609,3136,20
"01886","WESTFORD, MA",,10183,133196,551799,589
"01887","WILMINGTON, MA",,23848,336741,1293222,757
"01888","WOBURN, MA",,687,10427,39388,28
"01889","NORTH READING, MA","A",0,0,0,1
"01890","WINCHESTER, MA",,6632,59102,261483,592
"01901","LYNN, MA",,4889,37530,152672,293
"01902","LYNN, MA",,3853,23334,95696,413
"01903","LYNN, MA",,175,1023,4151,31
"01904","LYNN, MA",,3488,26430,112646,283
"01905","LYNN, MA",,8837,104738,486160,291
"01906","SAUGUS, MA",,10536,54786,239767,798
"01907","SWAMPSCOTT, MA",,2727,15575,70747,322
"01908","NAHANT, MA",,274,1373,6755,50
"01910","LYNN, MA",,20,175,1428,5
"01913","AMESBURY, MA",,3999,34891,141908,358
"01915","BEVERLY, MA",,19342,190210,795238,1108
"01921","BOXFORD, MA",,486,3385,16830,128
"01922","BYFIELD, MA",,509,4303,18878,57
"01923","DANVERS, MA",,23486,214387,881755,1202
"01929","ESSEX, MA",,1087,6675,34241,152
"01930","GLOUCESTER, MA",,9673,79554,351958,918
"01931","GLOUCESTER, MA",,205,1660,6921,54
"01936","HAMILTON, MA",,114,677,3265,26
"01937","HATHORNE, MA",,116,1724,6986,11
"01938","IPSWICH, MA",,3782,29210,124027,399
"01940","LYNNFIELD, MA",,5483,52505,220826,369
"01944","MANCHESTER, MA",,1504,12229,54382,212
"01945","MARBLEHEAD, MA",,4370,34495,151263,615
"01949","MIDDLETON, MA",,4049,41528,167330,270
"01950","NEWBURYPORT, MA",,9820,81306,339333,771
"01951","NEWBURY, MA",,571,3775,17008,81
