"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"96071","OLD STATION, CA",,11,29,96,5
"96073","PALO CEDRO, CA",,780,3350,16609,135
"96074","PASKENTA, CA","B",0,0,0,1
"96075","PAYNES CREEK, CA","A",0,0,0,1
"96076","PLATINA, CA","B",0,0,0,1
"96078","PROBERTA, CA","A",0,0,0,2
"96079","SHASTA LAKE, CA",,11,32,252,5
"96080","RED BLUFF, CA",,8843,50531,219150,656
"96084","ROUND MOUNTAIN, CA",,55,283,1274,7
"96086","SEIAD VALLEY, CA","B",0,0,0,5
"96087","SHASTA, CA","E",0,0,0,8
"96088","SHINGLETOWN, CA",,121,540,2920,53
"96089","SHASTA LAKE, CA","A",0,0,0,2
"96090","TEHAMA, CA","B",0,0,0,4
"96091","TRINITY CENTER, CA",,96,399,1737,28
"96092","VINA, CA",,34,113,1252,8
"96093","WEAVERVILLE, CA",,1237,6091,24719,169
"96094","WEED, CA",,1577,9395,44587,134
"96095","WHISKEYTOWN, CA","A",0,0,0,2
"96096","WHITMORE, CA",,159,932,4420,11
"96097","YREKA, CA",,3634,17635,78355,400
"96099","REDDING, CA",,620,3372,20155,103
"96101","ALTURAS, CA",,1084,5088,22204,147
"96103","BLAIRSDEN-GRAEAGLE, CA",,316,1737,10859,78
"96104","CEDARVILLE, CA",,162,536,2440,23
"96105","CHILCOOT, CA",,20,119,769,5
"96106","CLIO, CA",,40,221,1273,9
"96107","COLEVILLE, CA","B",0,0,0,15
"96108","DAVIS CREEK, CA","A",0,0,0,1
"96109","DOYLE, CA",,34,114,728,9
"96111","FLORISTON, CA","A",0,0,0,2
"96112","FORT BIDWELL, CA","B",0,0,0,2
"96113","HERLONG, CA",,38,143,551,9
"96114","JANESVILLE, CA",,78,236,1549,28
"96115","LAKE CITY, CA","B",0,0,0,2
"96116","LIKELY, CA",,27,90,413,5
"96117","LITCHFIELD, CA",,15,27,132,3
"96118","LOYALTON, CA",,383,2613,11929,33
"96120","MARKLEEVILLE, CA",,86,349,1635,21
"96121","MILFORD, CA","A",0,0,0,4
"96122","PORTOLA, CA",,593,3235,16261,108
"96124","CALPINE, CA",,23,43,200,7
"96125","SIERRA CITY, CA",,28,65,692,17
"96126","SIERRAVILLE, CA",,24,47,292,9
"96127","SUSANVILLE, CA",,15,57,197,3
"96128","STANDISH, CA",,28,145,634,5
"96129","BECKWOURTH, CA",,14,50,402,5
"96130","SUSANVILLE, CA",,3089,15358,68434,376
"96133","TOPAZ, CA","A",0,0,0,1
"96134","TULELAKE, CA",,355,1346,5664,38
"96135","VINTON, CA","A",0,0,0,2
"96136","WENDEL, CA","B",0,0,0,1
"96137","WESTWOOD, CA",,473,2667,12511,106
"96140","CARNELIAN BAY, CA",,252,1211,6908,60
"96141","HOMEWOOD, CA",,181,832,4725,50
"96142","TAHOMA, CA",,132,483,2331,23
"96143","KINGS BEACH, CA",,733,3729,17268,116
"96145","TAHOE CITY, CA",,3883,21398,91410,451
"96146","OLYMPIC VALLEY, CA",,2641,12237,42826,90
"96148","TAHOE VISTA, CA",,387,2034,12165,60
"96150","SOUTH LAKE TAHOE, CA",,8377,39533,172276,757
"96151","SOUTH LAKE TAHOE, CA",,536,2713,12871,82
"96152","SOUTH LAKE TAHOE, CA",,21,99,527,8
"96154","SOUTH LAKE TAHOE, CA",,6,44,212,7
"96155","SOUTH LAKE TAHOE, CA",,147,584,3485,35
"96156","SOUTH LAKE TAHOE, CA","G",0,0,0,15
"96157","SOUTH LAKE TAHOE, CA",,170,1033,4114,15
"96158","SOUTH LAKE TAHOE, CA",,773,7001,31841,74
"96160","TRUCKEE, CA",,1732,8688,32627,162
"96161","TRUCKEE, CA",,4487,24191,111457,523
"96162","TRUCKEE, CA",,235,1274,6279,83
"96701","AIEA, HI",,14573,90318,385243,1041
"96703","ANAHOLA, HI",,34,188,849,11
"96704","CAPTAIN COOK, HI",,381,1654,7701,60
"96705","ELEELE, HI",,485,3456,14838,41
"96706","EWA BEACH, HI",,2973,18512,78281,186
"96707","KAPOLEI, HI",,6631,53043,220677,297
"96708","HAIKU, HI",,417,1839,9442,120
"96709","KAPOLEI, HI",,182,2166,8870,16
"96710","HAKALAU, HI",,129,891,3152,7
"96712","HALEIWA, HI",,1412,6342,26057,158
"96713","HANA, HI",,255,1394,5426,31
"96714","HANALEI, HI",,867,3725,16840,102
"96715","HANAMAULU, HI",,62,174,718,4
"96716","HANAPEPE, HI",,291,1301,5574,39
"96717","HAUULA, HI",,206,1094,4363,28
"96718","HAWAII NATIONAL PARK, HI",,134,725,3242,5
"96719","HAWI, HI",,173,925,4145,23
"96720","HILO, HI",,17448,101680,429218,1384
"96721","HILO, HI",,148,556,2187,27
"96722","PRINCEVILLE, HI",,861,6322,24803,66
"96725","HOLUALOA, HI",,184,1181,4914,41
"96726","HONAUNAU, HI",,29,193,846,11
"96727","HONOKAA, HI",,451,2206,9860,72
"96728","HONOMU, HI",,6,33,140,3
"96729","HOOLEHUA, HI",,99,391,1574,17
"96730","KAAAWA, HI",,147,635,2613,13
"96731","KAHUKU, HI",,730,4234,17067,33
"96732","KAHULUI, HI",,13464,83392,356820,813
"96733","KAHULUI, HI",,226,1889,8320,48
"96734","KAILUA, HI",,7206,42171,175411,804
"96737","OCEAN VIEW, HI",,44,143,608,7
"96738","WAIKOLOA, HI",,1567,10181,40814,99
"96739","KEAUHOU, HI",,591,2262,10221,20
"96740","KAILUA KONA, HI",,11102,61903,261529,932
"96741","KALAHEO, HI",,397,1682,7110,74
"96742","KALAUPAPA, HI","A",0,0,0,1
"96743","KAMUELA, HI",,6672,44304,181904,352
"96744","KANEOHE, HI",,9995,52047,217706,804
"96745","KAILUA KONA, HI",,1111,8972,37437,135
"96746","KAPAA, HI",,3196,14002,59540,366
"96747","KAUMAKANI, HI",,38,102,433,6
"96748","KAUNAKAKAI, HI",,816,3999,17791,90
"96749","KEAAU, HI",,1241,6443,25732,106
"96750","KEALAKEKUA, HI",,1191,8599,37326,126
"96751","KEALIA, HI",,4,9,58,3
"96752","KEKAHA, HI",,191,1186,5300,29
"96753","KIHEI, HI",,9133,52538,227018,659
"96754","KILAUEA, HI",,409,1777,7932,69
"96755","KAPAAU, HI",,203,1024,5375,35
"96756","KOLOA, HI",,3173,18366,72891,165
"96757","KUALAPUU, HI",,46,206,914,8
"96759","KUNIA, HI","C",0,0,0,7
"96760","KURTISTOWN, HI",,63,272,1122,13
"96761","LAHAINA, HI",,13924,87052,358316,806
"96762","LAIE, HI",,3155,11729,46499,37
"96763","LANAI CITY, HI",,1413,11228,44215,50
"96764","LAUPAHOEHOE, HI",,47,159,637,6
"96765","LAWAI, HI",,320,1521,6657,36
"96766","LIHUE, HI",,8962,57377,232726,634
"96767","LAHAINA, HI",,108,531,2390,21
"96768","MAKAWAO, HI",,1646,7553,33065,238
"96770","MAUNALOA, HI",,212,949,3466,15
"96771","MOUNTAIN VIEW, HI",,51,168,683,13
"96772","NAALEHU, HI",,85,353,1367,18
"96774","OOKALA, HI","B",0,0,0,3
"96775","PAAUHAU, HI","A",0,0,0,1
"96776","PAAUILO, HI",,51,198,938,11
"96777","PAHALA, HI",,94,771,3041,16
"96778","PAHOA, HI",,430,1893,7758,62
"96779","PAIA, HI",,724,3170,14235,77
"96780","PAPAALOA, HI","A",0,0,0,2
"96781","PAPAIKOU, HI",,83,358,1623,13
"96782","PEARL CITY, HI",,5889,38546,161168,451
"96783","PEPEEKEO, HI",,31,386,1008,7
"96784","PUUNENE, HI",,792,6413,27872,42
"96785","VOLCANO, HI",,202,647,2972,24
"96786","WAHIAWA, HI",,3133,15531,65607,271
"96788","PUKALANI, HI",,240,1066,4582,16
"96789","MILILANI, HI",,4613,29953,120398,340
"96790","KULA, HI",,584,3051,13127,123
"96791","WAIALUA, HI",,361,1446,6484,48
"96792","WAIANAE, HI",,2793,16312,64294,244
