"zip","name","empflag","emp","qp1","ap","est"
"01001","Agawam, MA",,6198,33601,155158,439
"01002","Amherst, MA",,6073,28924,127367,450
"01003","Amherst, MA",,68,367,1604,10
"01004","Amherst, MA",,210,844,4302,47
"01005","Barre, MA",,678,3010,13521,92
"01007","Belchertown, MA",,1202,4083,19416,182
"01008","Blandford, MA",,195,381,1546,18
"01009","Bondsville, MA",,196,1017,5354,14
"01010","Brimfield, MA",,256,1255,5429,50
"01011","Chester, MA",,73,360,1610,16
"01012","Chesterfield, MA",,40,203,826,8
"01013","Chicopee, MA",,5597,29225,128937,381
"01014","Chicopee, MA",,85,501,2192,15
"01020","Chicopee, MA",,8837,44716,200341,551
"01021","Chicopee, MA",,262,1610,7513,32
"01022","Chicopee, MA",,1396,11634,51727,39
"01026","Cummington, MA",,224,475,2082,19
"01027","Easthampton, MA",,4748,25280,100818,315
"01028","East Longmeadow, MA",,8072,50343,209286,466
"01029","East Otis, MA",,62,301,1559,15
"01030","Feeding Hills, MA",,1002,3524,16745,193
"01031","Gilbertville, MA",,72,241,1211,18
"01032","Goshen, MA",,29,72,364,11
"01033","Granby, MA",,468,2395,10500,96
"01034","Granville, MA",,81,306,1597,22
"01035","Hadley, MA",,2801,9791,41400,237
"01036","Hampden, MA",,421,1819,8270,88
"01037","Hardwick, MA",,229,976,3626,14
"01038","Hatfield, MA",,614,3369,16380,54
"01039","Haydenville, MA",,145,627,2411,29
"01040","Holyoke, MA",,18159,98319,408072,985
"01041","Holyoke, MA",,969,5066,23192,77
"01050","Huntington, MA",,76,307,1597,31
"01053","Leeds, MA",,416,2056,8470,31
"01054","Leverett, MA",,49,132,840,19
"01056","Ludlow, MA",,3701,20942,98268,371
"01057","Monson, MA",,902,4073,17480,141
"01059","North Amherst, MA",,202,898,4411,26
"01060","Northampton, MA",,13568,67366,290672,915
"01061","Northampton, MA",,779,3645,16995,53
"01063","Northampton, MA","G",0,0,0,3
"01066","North Hatfield, MA","C",0,0,0,11
"01068","Oakham, MA",,39,151,766,20
"01069","Palmer, MA",,3576,24804,96032,260
"01070","Plainfield, MA",,20,89,396,6
"01071","Russell, MA",,272,2109,6469,16
"01072","Shutesbury, MA",,42,109,522,18
"01073","Southampton, MA",,557,2429,11024,93
"01074","South Barre, MA",,52,188,1010,8
"01075","South Hadley, MA",,4731,24709,105487,264
"01077","Southwick, MA",,1390,6704,28874,186
"01079","Thorndike, MA","E",0,0,0,13
"01080","Three Rivers, MA",,253,1002,4533,41
"01081","Wales, MA",,42,179,960,13
"01082","Ware, MA",,2052,11812,51011,205
"01083","Warren, MA",,455,3393,13788,43
"01084","West Chesterfield, MA","B",0,0,0,4
"01085","Westfield, MA",,10986,60187,257286,770
"01086","Westfield, MA",,1664,9897,40565,72
"01088","West Hatfield, MA",,125,624,2552,19
"01089","West Springfield, MA",,14244,70508,307792,1002
"01090","West Springfield, MA",,539,3502,16307,76
"01092","West Warren, MA","F",0,0,0,17
"01093","Whately, MA",,175,574,3207,31
"01094","Wheelwright, MA","B",0,0,0,2
"01095","Wilbraham, MA",,3257,21697,85546,251
"01096","Williamsburg, MA",,256,697,3979,53
"01097","Woronoco, MA","E",0,0,0,4
"01098","Worthington, MA",,112,437,1853,26
"01101","Springfield, MA",,1952,8453,36917,94
"01102","Springfield, MA",,2252,18319,74362,16
"01103","Springfield, MA",,10423,57591,255513,696
"01104","Springfield, MA",,12542,81899,352738,567
"01105","Springfield, MA",,4857,24703,105014,317
"01106","Longmeadow, MA",,2404,9764,39479,225
"01107","Springfield, MA",,8040,61780,308240,169
"01108","Springfield, MA",,3269,10773,47763,299
"01109","Springfield, MA",,14737,121476,571237,333
"01111","Springfield, MA","C",0,0,0,4
"01114","Springfield, MA","B",0,0,0,3
"01115","Springfield, MA",,843,7024,29024,78
"01116","Longmeadow, MA",,57,214,1158,10
"01118","Springfield, MA",,1495,6882,30937,153
"01119","Springfield, MA",,3042,12162,52846,131
"01128","Springfield, MA",,454,1815,7601,45
"01129","Springfield, MA",,3362,11515,46314,223
"01138","Springfield, MA",,94,347,1404,22
"01139","Springfield, MA","F",0,0,0,11
"01144","Springfield, MA",,951,7768,29613,43
"01151","Indian Orchard, MA",,2255,18968,75364,152
"01199","Springfield, MA","E",0,0,0,4
"01201","Pittsfield, MA",,20948,137863,589327,1334
"01202","Pittsfield, MA",,893,3904,19878,103
"01203","Pittsfield, MA","A",0,0,0,1
"01220","Adams, MA",,1828,9232,39881,172
"01222","Ashley Falls, MA",,26,139,781,9
"01223","Becket, MA",,152,536,3107,31
"01224","Berkshire, MA",,90,497,2230,6
"01225","Cheshire, MA",,151,607,2843,32
"01226","Dalton, MA",,2046,15194,64135,107
"01227","Dalton, MA",,141,929,4306,16
"01229","Glendale, MA",,1,1,54,3
"01230","Great Barrington, MA",,3802,18133,78881,401
"01235","Hinsdale, MA",,366,1148,5266,37
"01236","Housatonic, MA",,470,2691,11309,41
"01237","Lanesboro, MA",,2362,6303,26010,164
"01238","Lee, MA",,2185,13508,55502,218
"01240","Lenox, MA",,3432,13121,59963,227
"01242","Lenox Dale, MA",,87,456,2204,19
"01243","Middlefield, MA",,5,7,98,4
"01244","Mill River, MA",,26,72,343,7
"01245","Monterey, MA",,84,293,1468,20
"01247","North Adams, MA",,5269,23830,99829,415
"01252","North Egremont, MA",,44,97,540,9
"01253","Otis, MA",,115,257,1193,24
"01254","Richmond, MA",,71,310,1465,24
"01255","Sandisfield, MA",,68,274,1248,13
"01256","Savoy, MA","A",0,0,0,3
"01257","Sheffield, MA",,643,3807,15463,81
"01258","South Egremont, MA",,172,652,3776,33
"01259","Southfield, MA",,62,288,1289,14
