"zip","name","empflag","emp","qp1","ap","est"
"00501","HOLTSVILLE, NY",,34,170,773,8
"01001","AGAWAM, MA",,8650,61626,279815,500
"01002","AMHERST, MA",,6827,41882,180175,584
"01003","AMHERST, MA",,283,971,4196,15
"01004","AMHERST, MA",,178,1122,4311,43
"01005","BARRE, MA",,935,6237,25940,97
"01007","BELCHERTOWN, MA",,1626,9099,41085,232
"01008","BLANDFORD, MA",,315,593,2415,21
"01009","BONDSVILLE, MA",,170,1339,5866,20
"01010","BRIMFIELD, MA",,431,3081,12911,66
"01011","CHESTER, MA",,52,292,1266,14
"01012","CHESTERFIELD, MA",,83,445,1922,15
"01013","CHICOPEE, MA",,5426,47990,189115,356
"01014","CHICOPEE, MA",,104,406,1796,6
"01020","CHICOPEE, MA",,8066,60695,267214,529
"01021","CHICOPEE, MA",,316,1919,6932,17
"01022","CHICOPEE, MA",,2150,20854,86119,52
"01026","CUMMINGTON, MA",,168,1077,4886,18
"01027","EASTHAMPTON, MA",,4467,30374,129407,379
"01028","EAST LONGMEADOW, MA",,8263,74321,301400,476
"01029","EAST OTIS, MA",,96,564,3307,20
"01030","FEEDING HILLS, MA",,1096,5209,24551,190
"01031","GILBERTVILLE, MA",,139,434,2413,27
"01032","GOSHEN, MA",,65,455,2444,15
"01033","GRANBY, MA",,692,4762,19509,120
"01034","GRANVILLE, MA",,103,494,2511,32
"01035","HADLEY, MA",,5196,24773,110466,281
"01036","HAMPDEN, MA",,1191,6991,23884,110
"01037","HARDWICK, MA",,181,1303,6252,16
"01038","HATFIELD, MA",,1374,12992,52737,58
"01039","HAYDENVILLE, MA",,210,1585,7002,35
"01040","HOLYOKE, MA",,18648,131088,548044,953
"01041","HOLYOKE, MA",,1467,8934,39389,61
"01050","HUNTINGTON, MA",,181,776,3330,36
"01053","LEEDS, MA",,998,10343,42024,31
"01054","LEVERETT, MA",,103,490,2895,38
"01056","LUDLOW, MA",,4231,30923,152424,440
"01057","MONSON, MA",,960,6685,30455,163
"01059","NORTH AMHERST, MA",,224,1342,5770,19
"01060","NORTHAMPTON, MA",,11293,79003,339219,815
"01061","NORTHAMPTON, MA",,262,2487,11507,26
"01062","FLORENCE, MA",,1297,8216,38158,168
"01063","NORTHAMPTON, MA","H",0,0,0,4
"01066","NORTH HATFIELD, MA",,637,6936,30813,14
"01068","OAKHAM, MA",,91,457,2368,25
"01069","PALMER, MA",,3496,25347,113946,279
"01070","PLAINFIELD, MA",,31,198,893,8
"01071","RUSSELL, MA",,136,1109,4598,26
"01072","SHUTESBURY, MA",,49,171,933,19
"01073","SOUTHAMPTON, MA",,835,4221,20665,114
"01074","SOUTH BARRE, MA",,135,718,3646,16
"01075","SOUTH HADLEY, MA",,5300,34104,145464,298
"01077","SOUTHWICK, MA",,2233,15010,69235,237
"01079","THORNDIKE, MA",,106,1042,3609,15
"01080","THREE RIVERS, MA",,300,1535,6771,51
"01081","WALES, MA",,83,436,1993,19
"01082","WARE, MA",,2274,15030,64023,200
"01083","WARREN, MA",,322,2784,13001,48
"01084","WEST CHESTERFIELD, MA","A",0,0,0,1
"01085","WESTFIELD, MA",,12377,90270,397701,867
"01086","WESTFIELD, MA",,775,4448,19232,38
"01088","WEST HATFIELD, MA",,195,2084,7689,17
"01089","WEST SPRINGFIELD, MA",,17280,116884,503735,1018
"01090","WEST SPRINGFIELD, MA",,374,3753,15694,19
"01092","WEST WARREN, MA",,709,5051,21471,17
"01093","WHATELY, MA",,1369,10748,46237,37
"01094","WHEELWRIGHT, MA",,27,180,859,5
"01095","WILBRAHAM, MA",,3133,25220,101404,294
"01096","WILLIAMSBURG, MA",,321,1372,6514,48
"01098","WORTHINGTON, MA",,208,1050,5482,32
"01101","SPRINGFIELD, MA",,1765,12360,51974,54
"01102","SPRINGFIELD, MA",,2238,22631,110238,20
"01103","SPRINGFIELD, MA",,7598,64090,268325,651
"01104","SPRINGFIELD, MA",,13412,104608,469119,560
"01105","SPRINGFIELD, MA",,5677,45449,180345,328
"01106","LONGMEADOW, MA",,2654,15509,69667,244
"01107","SPRINGFIELD, MA",,2491,26440,120652,163
"01108","SPRINGFIELD, MA",,3010,15505,66255,292
"01109","SPRINGFIELD, MA",,6100,38748,164978,327
"01111","SPRINGFIELD, MA","H",0,0,0,7
"01114","SPRINGFIELD, MA","C",0,0,0,1
"01115","SPRINGFIELD, MA",,1218,43712,103357,72
"01116","LONGMEADOW, MA",,9,42,185,4
"01118","SPRINGFIELD, MA",,1602,12453,59173,150
"01119","SPRINGFIELD, MA",,3749,17934,77497,138
"01128","SPRINGFIELD, MA",,795,4056,15614,49
"01129","SPRINGFIELD, MA",,3117,13901,56474,191
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA",,60,477,2398,11
"01139","SPRINGFIELD, MA","E",0,0,0,5
"01144","SPRINGFIELD, MA",,1200,14398,59020,49
"01151","INDIAN ORCHARD, MA",,1647,17076,73984,146
"01199","SPRINGFIELD, MA","I",0,0,0,7
"01201","PITTSFIELD, MA",,23706,196401,816828,1451
"01202","PITTSFIELD, MA",,558,4173,19259,51
"01203","PITTSFIELD, MA","A",0,0,0,2
"01220","ADAMS, MA",,1614,10892,49785,184
"01222","ASHLEY FALLS, MA",,46,217,1044,11
"01223","BECKET, MA",,243,1313,8426,51
"01224","BERKSHIRE, MA",,51,256,1110,6
"01225","CHESHIRE, MA",,363,1966,9328,59
"01226","DALTON, MA",,2046,20422,72742,139
"01227","DALTON, MA",,146,1270,6850,13
"01229","GLENDALE, MA",,20,104,492,5
"01230","GREAT BARRINGTON, MA",,4491,29130,125769,457
"01235","HINSDALE, MA",,152,839,4733,51
"01236","HOUSATONIC, MA",,614,4943,21586,47
"01237","LANESBORO, MA",,2231,9984,40379,180
"01238","LEE, MA",,3099,21492,89019,300
"01240","LENOX, MA",,3687,20115,92466,250
"01242","LENOX DALE, MA",,116,653,2874,19
"01243","MIDDLEFIELD, MA",,35,213,825,6
