"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"00501","HOLTSVILLE, NY","B",0,0,0,2
"01001","AGAWAM, MA",,7786,58129,252624,469
"01002","AMHERST, MA",,6607,36220,163105,558
"01003","AMHERST, MA",,82,336,1646,13
"01004","AMHERST, MA",,600,2659,10426,35
"01005","BARRE, MA",,777,4141,19043,82
"01007","BELCHERTOWN, MA",,1126,4890,22798,194
"01008","BLANDFORD, MA",,274,728,3220,18
"01009","BONDSVILLE, MA",,162,1089,5085,14
"01010","BRIMFIELD, MA",,259,922,7038,71
"01011","CHESTER, MA",,50,213,1059,16
"01012","CHESTERFIELD, MA",,65,382,1645,13
"01013","CHICOPEE, MA",,5803,35712,166341,402
"01014","CHICOPEE, MA",,103,524,2388,8
"01020","CHICOPEE, MA",,8566,51045,226494,567
"01021","CHICOPEE, MA",,425,1818,7803,18
"01022","CHICOPEE, MA",,2804,23483,105028,51
"01026","CUMMINGTON, MA",,151,611,3269,18
"01027","EASTHAMPTON, MA",,4372,25392,112571,354
"01028","EAST LONGMEADOW, MA",,8486,59473,250337,488
"01029","EAST OTIS, MA",,88,403,2238,15
"01030","FEEDING HILLS, MA",,1143,4725,23107,198
"01031","GILBERTVILLE, MA",,48,158,925,19
"01032","GOSHEN, MA",,59,349,1409,14
"01033","GRANBY, MA",,640,3307,15216,106
"01034","GRANVILLE, MA",,97,380,2050,27
"01035","HADLEY, MA",,3293,13537,60945,262
"01036","HAMPDEN, MA",,492,2305,12569,104
"01037","HARDWICK, MA",,169,900,4034,12
"01038","HATFIELD, MA",,814,6144,23892,63
"01039","HAYDENVILLE, MA",,232,1150,5219,41
"01040","HOLYOKE, MA",,19782,120138,517716,1105
"01041","HOLYOKE, MA",,1374,5538,22804,74
"01050","HUNTINGTON, MA",,138,533,2412,27
"01053","LEEDS, MA",,425,2229,9854,35
"01054","LEVERETT, MA",,74,220,1233,25
"01056","LUDLOW, MA",,4012,26916,128980,416
"01057","MONSON, MA",,1010,5807,26771,161
"01059","NORTH AMHERST, MA",,162,914,3874,17
"01060","NORTHAMPTON, MA",,12181,71217,306040,863
"01061","NORTHAMPTON, MA",,392,2072,9821,36
"01062","FLORENCE, MA",,1083,5235,25676,139
"01063","NORTHAMPTON, MA","H",0,0,0,3
"01066","NORTH HATFIELD, MA","F",0,0,0,11
"01068","OAKHAM, MA",,96,459,1854,22
"01069","PALMER, MA",,3721,21210,99652,293
"01070","PLAINFIELD, MA",,23,119,702,11
"01071","RUSSELL, MA",,117,1013,3487,19
"01072","SHUTESBURY, MA",,70,190,885,19
"01073","SOUTHAMPTON, MA",,790,3303,15427,106
"01074","SOUTH BARRE, MA",,106,386,1797,15
"01075","SOUTH HADLEY, MA",,5452,34125,133359,296
"01077","SOUTHWICK, MA",,1776,9153,44136,207
"01079","THORNDIKE, MA",,274,1872,8013,15
"01080","THREE RIVERS, MA",,253,1197,5427,44
"01081","WALES, MA",,76,283,1421,17
"01082","WARE, MA",,2455,14119,62733,194
"01083","WARREN, MA",,347,2485,10228,43
"01084","WEST CHESTERFIELD, MA","A",0,0,0,2
"01085","WESTFIELD, MA",,12619,79190,336700,858
"01086","WESTFIELD, MA",,1355,7096,32127,62
"01088","WEST HATFIELD, MA",,323,2200,10990,19
"01089","WEST SPRINGFIELD, MA",,17270,100413,451451,1069
"01090","WEST SPRINGFIELD, MA",,459,3538,14138,31
"01092","WEST WARREN, MA",,661,5180,21562,19
"01093","WHATELY, MA",,1834,11646,58138,33
"01094","WHEELWRIGHT, MA",,31,185,923,5
"01095","WILBRAHAM, MA",,3199,25093,104117,298
"01096","WILLIAMSBURG, MA",,301,891,4517,48
"01097","WORONOCO, MA",,7,13,184,3
"01098","WORTHINGTON, MA",,157,783,4113,29
"01101","SPRINGFIELD, MA",,1396,7928,33767,78
"01102","SPRINGFIELD, MA",,2997,23642,102859,19
"01103","SPRINGFIELD, MA",,8682,57864,262562,659
"01104","SPRINGFIELD, MA",,14724,91246,399034,624
"01105","SPRINGFIELD, MA",,5386,32537,142738,386
"01106","LONGMEADOW, MA",,2533,11373,52653,232
"01107","SPRINGFIELD, MA",,7808,61440,270340,269
"01108","SPRINGFIELD, MA",,3162,12486,57003,348
"01109","SPRINGFIELD, MA",,12497,121650,418141,492
"01111","SPRINGFIELD, MA","B",0,0,0,3
"01114","SPRINGFIELD, MA","C",0,0,0,2
"01115","SPRINGFIELD, MA",,716,8263,34570,73
"01116","LONGMEADOW, MA","A",0,0,0,1
"01118","SPRINGFIELD, MA",,1668,9029,44588,164
"01119","SPRINGFIELD, MA",,3747,16241,69148,164
"01128","SPRINGFIELD, MA",,643,2278,9615,44
"01129","SPRINGFIELD, MA",,3515,13380,59998,212
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA",,44,253,1121,14
"01139","SPRINGFIELD, MA","F",0,0,0,9
"01144","SPRINGFIELD, MA",,1366,14781,56024,54
"01151","INDIAN ORCHARD, MA",,1863,22663,83627,169
"01199","SPRINGFIELD, MA","G",0,0,0,5
"01201","PITTSFIELD, MA",,23474,176480,760710,1469
"01202","PITTSFIELD, MA",,809,4055,18863,72
"01203","PITTSFIELD, MA","A",0,0,0,1
"01220","ADAMS, MA",,1898,11075,49764,184
"01222","ASHLEY FALLS, MA",,80,438,1939,12
"01223","BECKET, MA",,227,1056,6344,40
"01224","BERKSHIRE, MA","B",0,0,0,3
"01225","CHESHIRE, MA",,254,1135,5418,45
"01226","DALTON, MA",,2436,21410,71314,121
"01227","DALTON, MA",,71,359,2163,19
"01229","GLENDALE, MA",,17,37,187,4
"01230","GREAT BARRINGTON, MA",,4124,20789,91725,410
"01235","HINSDALE, MA",,348,995,4970,41
"01236","HOUSATONIC, MA",,1471,11231,43811,48
"01237","LANESBORO, MA",,2567,6616,37392,182
"01238","LEE, MA",,2783,18221,79010,291
"01240","LENOX, MA",,3235,17076,76456,241
"01242","LENOX DALE, MA",,80,455,2174,20
"01243","MIDDLEFIELD, MA",,60,295,1129,10
"01244","MILL RIVER, MA",,17,70,323,4
"01245","MONTEREY, MA",,146,583,2586,29
"01247","NORTH ADAMS, MA",,5130,27688,119163,446
"01252","NORTH EGREMONT, MA",,44,124,752,10
"01253","OTIS, MA",,106,315,1503,19
"01254","RICHMOND, MA",,78,407,2198,28
"01255","SANDISFIELD, MA",,92,585,2804,11
"01256","SAVOY, MA",,16,71,382,7
"01257","SHEFFIELD, MA",,930,5012,27865,98
"01258","SOUTH EGREMONT, MA",,173,556,2792,37
"01259","SOUTHFIELD, MA",,67,347,2048,22
"01260","SOUTH LEE, MA",,849,7091,31586,16
"01262","STOCKBRIDGE, MA",,816,4763,22792,80
"01264","TYRINGHAM, MA",,3,51,232,4
"01266","WEST STOCKBRIDGE, MA",,194,867,5087,61
"01267","WILLIAMSTOWN, MA",,4784,27069,132969,249
"01270","WINDSOR, MA",,79,251,1158,10
"01301","GREENFIELD, MA",,9149,47318,210505,622
"01302","GREENFIELD, MA",,626,4752,18802,40
"01330","ASHFIELD, MA",,154,634,3132,40
"01331","ATHOL, MA",,3684,20761,88399,246
"01337","BERNARDSTON, MA",,389,1983,9452,55
"01338","BUCKLAND, MA",,106,600,2873,10
"01339","CHARLEMONT, MA",,172,680,2532,38
"01340","COLRAIN, MA",,124,1053,4507,30
"01341","CONWAY, MA",,82,422,2093,27
"01342","DEERFIELD, MA",,888,5001,21771,35
"01343","DRURY, MA","A",0,0,0,1
"01344","ERVING, MA",,343,2894,12636,13
"01346","HEATH, MA",,19,74,520,6
"01347","LAKE PLEASANT, MA","A",0,0,0,1
"01349","TURNERS FALLS, MA",,279,785,3521,21
"01350","MONROE BRIDGE, MA","B",0,0,0,5
"01351","MONTAGUE, MA",,97,470,2423,29
"01355","NEW SALEM, MA",,62,212,1033,17
"01360","NORTHFIELD, MA",,932,6067,27981,48
"01364","ORANGE, MA",,1582,8335,35808,161
"01366","PETERSHAM, MA",,85,360,1642,21
"01367","ROWE, MA",,54,145,652,8
"01368","ROYALSTON, MA",,53,211,970,10
"01370","SHELBURNE FALLS, MA",,921,4491,18642,123
"01373","SOUTH DEERFIELD, MA",,2322,18330,78600,124
"01375","SUNDERLAND, MA",,440,2653,16762,49
"01376","TURNERS FALLS, MA",,1984,11212,50462,152
"01378","WARWICK, MA",,13,79,365,5
"01379","WENDELL, MA",,132,648,2959,13
"01380","WENDELL DEPOT, MA","A",0,0,0,1
"01420","FITCHBURG, MA",,13360,79606,352921,918
"01430","ASHBURNHAM, MA",,632,3685,16037,88
"01431","ASHBY, MA",,154,718,3600,42
"01432","AYER, MA",,4764,37034,168130,268
"01433","FT DEVENS, MA","B",0,0,0,2
"01436","BALDWINVILLE, MA",,465,2714,12608,32
"01438","EAST TEMPLETON, MA",,223,972,7108,19
"01440","GARDNER, MA",,7159,36253,169064,459
"01441","GARDNER, MA","G",0,0,0,3
"01450","GROTON, MA",,1471,9470,41742,172
"01451","HARVARD, MA",,746,8275,38178,154
"01452","HUBBARDSTON, MA",,290,1462,6968,58
"01453","LEOMINSTER, MA",,19143,114746,503965,1143
"01460","LITTLETON, MA",,6127,89966,377255,329
"01462","LUNENBURG, MA",,1771,12207,56382,186
"01463","PEPPERELL, MA",,1495,9247,40788,195
"01464","SHIRLEY, MA",,849,6332,28803,86
"01467","STILL RIVER, MA",,14,100,428,5
"01468","TEMPLETON, MA",,232,1204,5727,39
"01469","TOWNSEND, MA",,1422,8451,36949,118
"01471","GROTON, MA","F",0,0,0,2
"01472","WEST GROTON, MA",,269,2279,9781,12
"01473","WESTMINSTER, MA",,1869,14506,61418,134
"01474","WEST TOWNSEND, MA",,255,862,3769,33
"01475","WINCHENDON, MA",,1289,6259,28406,154
"01477","WINCHENDON SPRINGS, MA","C",0,0,0,4
"01501","AUBURN, MA",,9958,68746,298016,535
"01503","BERLIN, MA",,367,1747,9415,83
"01504","BLACKSTONE, MA",,725,3174,15881,139
"01505","BOYLSTON, MA",,1077,7124,34492,90
"01506","BROOKFIELD, MA",,390,1675,7363,38
"01507","CHARLTON, MA",,1673,9882,45656,182
"01508","CHARLTON CITY, MA",,240,954,4912,39
"01509","CHARLTON DEPOT, MA",,10,35,348,4
"01510","CLINTON, MA",,4438,32043,154781,275
"01515","EAST BROOKFIELD, MA",,275,1736,8429,41
"01516","DOUGLAS, MA",,591,3261,14077,102
"01518","FISKDALE, MA",,241,1055,5795,54
"01519","GRAFTON, MA",,1082,7437,33022,93
"01520","HOLDEN, MA",,3212,18666,85616,274
"01521","HOLLAND, MA",,70,286,1306,21
"01522","JEFFERSON, MA",,109,565,2256,25
"01523","LANCASTER, MA",,1104,7235,30215,88
"01524","LEICESTER, MA",,1143,5191,26287,95
"01525","LINWOOD, MA",,255,864,4109,25
"01526","MANCHAUG, MA",,41,170,800,11
"01527","MILLBURY, MA",,3432,24752,111899,227
"01529","MILLVILLE, MA",,74,299,1664,29
"01531","NEW BRAINTREE, MA",,23,127,776,15
"01532","NORTHBOROUGH, MA",,5598,44736,202353,445
"01534","NORTHBRIDGE, MA",,893,5181,22947,55
"01535","NORTH BROOKFIELD, MA",,957,6660,29960,83
"01536","NORTH GRAFTON, MA",,1882,18149,81936,122
"01537","NORTH OXFORD, MA",,804,4782,22308,52
"01538","NORTH UXBRIDGE, MA",,275,2091,8994,28
"01540","OXFORD, MA",,2146,13733,63752,229
"01541","PRINCETON, MA",,919,3128,11910,66
"01542","ROCHDALE, MA",,419,2562,10931,35
"01543","RUTLAND, MA",,613,3841,17081,82
"01545","SHREWSBURY, MA",,9885,74800,330269,711
"01546","SHREWSBURY, MA","A",0,0,0,1
"01550","SOUTHBRIDGE, MA",,6355,40085,173121,390
"01560","SOUTH GRAFTON, MA",,377,2042,9763,50
"01561","SOUTH LANCASTER, MA",,874,4466,19378,42
"01562","SPENCER, MA",,3034,19435,91935,221
"01564","STERLING, MA",,1718,12383,56766,169
"01566","STURBRIDGE, MA",,3791,22044,99499,213
"01568","UPTON, MA",,570,3127,14371,130
"01569","UXBRIDGE, MA",,1745,9655,45691,230
"01570","WEBSTER, MA",,6400,39990,182231,378
"01571","DUDLEY, MA",,1944,13738,60188,141
"01580","WESTBOROUGH, MA","G",0,0,0,5
"01581","WESTBOROUGH, MA",,20181,307595,1170497,824
"01582","WESTBOROUGH, MA","F",0,0,0,4
"01583","WEST BOYLSTON, MA",,2534,15040,67450,199
"01585","WEST BROOKFIELD, MA",,839,5217,22948,70
"01586","WEST MILLBURY, MA","A",0,0,0,2
"01588","WHITINSVILLE, MA",,2724,16117,73089,203
"01590","SUTTON, MA",,991,5880,33128,154
"01601","WORCESTER, MA",,202,693,3281,12
"01602","WORCESTER, MA",,3235,15021,67058,293
"01603","WORCESTER, MA",,7591,45629,201221,430
"01604","WORCESTER, MA",,14230,85867,381164,730
"01605","WORCESTER, MA",,19216,167138,712971,577
"01606","WORCESTER, MA",,9046,73476,308621,419
"01607","WORCESTER, MA",,2300,16172,77313,165
"01608","WORCESTER, MA",,13798,99840,414348,757
"01609","WORCESTER, MA",,10724,54694,240402,544
"01610","WORCESTER, MA",,10344,58075,242556,406
"01611","CHERRY VALLEY, MA",,135,823,3815,34
"01612","PAXTON, MA",,716,3039,15352,76
"01613","WORCESTER, MA",,811,6417,30222,53
"01614","WORCESTER, MA",,26,151,563,7
"01615","WORCESTER, MA",,1730,16312,71397,10
"01653","WORCESTER, MA","A",0,0,0,1
"01655","WORCESTER, MA","H",0,0,0,3
"01701","FRAMINGHAM, MA",,34321,310996,1384331,1343
"01702","FRAMINGHAM, MA",,9457,131741,526969,766
"01703","FRAMINGHAM, MA",,492,2812,13991,25
"01704","FRAMINGHAM, MA",,401,5602,30542,17
"01705","FRAMINGHAM, MA",,50,368,1495,16
"01718","VILLAGE OF NAGOG WOODS, MA",,22,186,925,8
"01719","BOXBOROUGH, MA",,2503,42475,186268,132
"01720","ACTON, MA",,9156,82898,368147,741
"01721","ASHLAND, MA",,3952,25879,112704,385
"01730","BEDFORD, MA",,20715,392821,1671299,546
"01731","HANSCOM AFB, MA",,416,4097,17133,19
"01740","BOLTON, MA",,1602,14624,74780,116
"01741","CARLISLE, MA",,600,5681,25740,120
"01742","CONCORD, MA",,11943,123485,537300,847
"01745","FAYVILLE, MA",,140,1268,8310,25
"01746","HOLLISTON, MA",,4624,38124,179459,394
"01747","HOPEDALE, MA",,1394,11990,48350,131
"01748","HOPKINTON, MA",,8698,149230,681792,336
"01749","HUDSON, MA",,10366,96275,418659,476
"01752","MARLBOROUGH, MA",,26813,300602,1381287,1233
"01754","MAYNARD, MA",,3468,59422,253250,273
"01756","MENDON, MA",,1066,5507,26868,142
"01757","MILFORD, MA",,12424,114000,496620,706
"01760","NATICK, MA",,21256,172520,766304,1325
"01770","SHERBORN, MA",,393,3233,14662,114
"01772","SOUTHBOROUGH, MA",,6980,68912,281289,280
"01773","LINCOLN, MA",,1233,16509,77982,137
"01775","STOW, MA",,1735,32087,125138,171
"01776","SUDBURY, MA",,5782,52569,235463,511
"01778","WAYLAND, MA",,2666,20428,137560,340
"01784","WOODVILLE, MA",,36,244,1127,7
"01801","WOBURN, MA","K",0,0,0,1958
"01803","BURLINGTON, MA",,33285,371872,1620904,1357
"01805","BURLINGTON, MA","H",0,0,0,7
"01807","WOBURN, MA","A",0,0,0,1
"01810","ANDOVER, MA",,29194,310276,1430080,957
