"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"14456","GENEVA, NY",,"G",10258,"G",84440,"G",352635,512,"GENEVA","NY","ONTARIO"
"14461","GORHAM, NY","B","S",0,"S",0,"H",2881,13,"GORHAM","NY","ONTARIO"
"14462","GROVELAND, NY","A","S",0,"H",30,"H",271,6,"GROVELAND","NY","LIVINGSTON"
"14463","HALL, NY","C","S",0,"S",0,"H",5556,9,"HALL","NY","ONTARIO"
"14464","HAMLIN, NY",,"H",517,"G",2578,"G",11577,83,"HAMLIN","NY","MONROE"
"14466","HEMLOCK, NY","B","S",0,"G",449,"G",2038,24,"HEMLOCK","NY","LIVINGSTON"
"14467","HENRIETTA, NY",,"G",2751,"G",23587,"G",99985,183,"HENRIETTA","NY","MONROE"
"14468","HILTON, NY",,"G",1591,"G",9251,"H",46562,244,"HILTON","NY","MONROE"
"14469","BLOOMFIELD, NY",,"H",1136,"H",11727,"H",50705,120,"BLOOMFIELD","NY","ONTARIO"
"14470","HOLLEY, NY",,"G",556,"H",4282,"H",17107,90,"HOLLEY","NY","ORLEANS"
"14471","HONEOYE, NY",,"G",461,"G",2359,"G",10794,65,"HONEOYE","NY","ONTARIO"
"14472","HONEOYE FALLS, NY",,"G",1586,"H",14000,"H",62666,193,"HONEOYE FALLS","NY","MONROE"
"14475","IONIA, NY","A","D",0,"D",0,"D",0,6,"IONIA","NY","ONTARIO"
"14476","KENDALL, NY",,"G",69,"H",403,"H",1955,19,"KENDALL","NY","ORLEANS"
"14477","KENT, NY",,"G",55,"G",184,"G",1203,14,"KENT","NY","ORLEANS"
"14478","KEUKA PARK, NY","F","D",0,"D",0,"D",0,16,"KEUKA PARK","NY","YATES"
"14479","KNOWLESVILLE, NY","A","D",0,"D",0,"D",0,1,"KNOWLESVILLE","NY","ORLEANS"
"14480","LAKEVILLE, NY",,"H",560,"G",4915,"H",29034,60,"LAKEVILLE","NY","LIVINGSTON"
"14481","LEICESTER, NY",,"H",155,"H",1270,"H",8239,30,"LEICESTER","NY","LIVINGSTON"
"14482","LE ROY, NY",,"G",2071,"G",15321,"G",66473,199,"LE ROY","NY","GENESEE"
"14485","LIMA, NY",,"G",920,"G",5961,"G",27897,93,"LIMA","NY","LIVINGSTON"
"14486","LINWOOD, NY","A","D",0,"D",0,"D",0,4,"LINWOOD","NY","GENESEE"
"14487","LIVONIA, NY",,"G",528,"G",2898,"G",13779,93,"LIVONIA","NY","LIVINGSTON"
"14489","LYONS, NY",,"G",1133,"G",9991,"G",41192,112,"LYONS","NY","WAYNE"
"14502","MACEDON, NY",,"H",3342,"H",30688,"H",126129,233,"MACEDON","NY","WAYNE"
"14504","MANCHESTER, NY",,"G",427,"G",2382,"G",10455,27,"MANCHESTER","NY","ONTARIO"
"14505","MARION, NY","E","S",0,"H",5667,"H",22992,70,"MARION","NY","WAYNE"
"14506","MENDON, NY",,"G",609,"G",4090,"G",19714,78,"MENDON","NY","MONROE"
"14507","MIDDLESEX, NY",,"H",61,"H",315,"H",1550,22,"MIDDLESEX","NY","YATES"
