"zip","name","empflag","emp","qp1","ap","est"
"00501","Holtsville, NY","B",0,0,0,4
"01000","Springfield, MA",,161,1494,6671,11
"01001","Agawam, MA",,6130,37746,171045,433
"01002","Amherst, MA",,6441,32964,141756,487
"01003","Amherst, MA",,77,364,1686,13
"01004","Amherst, MA",,206,968,4783,47
"01005","Barre, MA",,819,4997,22023,101
"01007","Belchertown, MA",,1076,4463,20980,183
"01008","Blandford, MA",,233,432,1625,14
"01009","Bondsville, MA",,200,1307,5800,15
"01010","Brimfield, MA",,335,1657,7419,62
"01011","Chester, MA",,72,292,1279,19
"01012","Chesterfield, MA",,72,352,1427,9
"01013","Chicopee, MA",,5751,32706,144096,360
"01014","Chicopee, MA",,57,302,1383,12
"01020","Chicopee, MA",,8490,48525,211928,528
"01021","Chicopee, MA",,306,1814,7727,31
"01022","Chicopee, MA",,1537,12820,50817,42
"01026","Cummington, MA",,56,161,856,15
"01027","Easthampton, MA",,4103,22390,97090,309
"01028","East Longmeadow, MA",,8277,55691,233960,486
"01029","East Otis, MA",,62,272,1302,15
"01030","Feeding Hills, MA",,1193,5508,24425,204
"01031","Gilbertville, MA",,71,275,1033,17
"01032","Goshen, MA",,67,228,987,16
"01033","Granby, MA",,531,2391,11252,98
"01034","Granville, MA",,86,309,1515,26
"01035","Hadley, MA",,3320,11627,50324,248
"01036","Hampden, MA",,357,1513,7769,91
"01037","Hardwick, MA",,236,908,3617,11
"01038","Hatfield, MA",,1021,5999,23292,60
"01039","Haydenville, MA",,143,771,3303,29
"01040","Holyoke, MA",,18792,112043,452401,999
"01041","Holyoke, MA",,1250,6486,28513,86
"01050","Huntington, MA",,90,323,1454,26
"01053","Leeds, MA",,388,1918,8281,29
"01054","Leverett, MA",,65,180,1095,25
"01056","Ludlow, MA",,3817,23216,110066,382
"01057","Monson, MA",,913,5180,22394,145
"01059","North Amherst, MA",,114,615,2738,14
"01060","Northampton, MA",,13365,73034,306393,936
"01061","Northampton, MA",,689,3913,17440,44
"01062","Florence, MA",,15,46,254,8
"01063","Northampton, MA","H",0,0,0,3
"01066","North Hatfield, MA",,1014,7695,21154,11
"01068","Oakham, MA",,72,351,1690,23
"01069","Palmer, MA",,3888,27210,113833,269
"01070","Plainfield, MA",,26,107,487,5
"01071","Russell, MA",,133,921,3935,17
"01072","Shutesbury, MA",,47,165,778,17
"01073","Southampton, MA",,700,2979,13037,101
"01074","South Barre, MA",,55,227,1238,8
"01075","South Hadley, MA",,5254,28564,115710,268
"01077","Southwick, MA",,1503,7698,32249,181
"01079","Thorndike, MA",,267,2211,8822,13
"01080","Three Rivers, MA",,270,1140,5002,43
"01081","Wales, MA",,71,144,715,12
